,count
shawty,4
vodka,4
provoke,4
broad,4
machine,4
bro,4
relevant,4
foolish,4
sugar,4
mass,4
penicillin,4
lying,4
forgettin,4
24,4
proud,4
bruise,4
brung,4
buildin,4
flock,4
remain,4
flood,4
sunglasses,4
sundress,4
billy,4
buds,4
shattered,4
noodle,4
flopped,4
floss,4
bucket,4
lovely,4
loves,4
brutal,4
brush,4
mash,4
shell,4
battling,4
bleeding,4
blastin,4
french,4
ripped,4
borramo,4
waking,4
friday,4
runs,4
ns,4
boo,4
suddenly,4
walls,4
risk,4
fuss,4
realize,4
bobbin,4
stuntin,4
bling,4
wanting,4
main,4
bothering,4
bougie,4
blame,4
shootin,4
braggin,4
suckin,4
magazine,4
fought,4
sucked,4
boyfriend,4
strut,4
sucka,4
fragrance,4
martin,4
penning,4
operating,4
freakin,4
punks,4
bouncin,4
waist,4
built,4
loot,4
bully,4
stores,4
catchin,4
surviving,4
lied,4
puzzled,4
stopping,4
government,4
singers,4
lifetime,4
beginnin,4
violate,4
commit,4
vegas,4
gots,4
storm,4
vehicle,4
fiendin,4
believed,4
captain,4
razor,4
van,4
stoppin,4
fee,4
lebron,4
oldies,4
sisters,4
fatha,4
nemesis,4
oven,4
private,4
beans,4
fatty,4
rubbing,4
celebrity,4
shade,4
celebrating,4
ruckus,4
feast,4
peel,4
stopped,4
shank,4
nicki,4
belly,4
ph,4
flagrant,4
sight,4
45,4
wee,4
videos,4
sap,4
giving,4
flashy,4
view,4
girlfriends,4
sidekick,4
flew,4
biatch,4
mattress,4
bien,4
loop,4
biggest,4
vida,4
mayhem,4
simmer,4
pushed,4
similar,4
belt,4
outlaw,4
outkast,4
lip,4
bend,4
calls,4
52,4
shape,4
versace,4
finest,4
ruger,4
vert,4
suppose,4
zombie,4
strand,4
ninety,4
commission,4
preach,4
committed,4
dupri,4
toby,4
obi,4
amoxicillin,4
hearse,4
duz,4
yap,4
sober,4
heartless,4
honeys,4
answers,4
cruise,4
toy,4
answer,4
parlay,4
aiyyo,4
rookie,4
winner,4
happenin,4
hi,4
daylight,4
pandemic,4
counter,4
section,4
root,4
rage,4
seductive,4
trending,4
jada,4
pointed,4
smoked,4
throwin,4
dippin,4
aimed,4
racin,4
debating,4
text,4
hook,4
mummy,4
crunch,4
award,4
directions,4
sea,4
tool,4
panties,4
yard,4
hype,4
rollie,4
eagle,4
muthafin,4
missin,4
honor,4
social,4
sendin,4
dying,4
dyin,4
corrupt,4
heavens,4
mistakes,4
snakes,4
invite,4
sport,4
ironic,4
selling,4
dapper,4
cribs,4
rae,4
parents,4
thots,4
hollerin,4
romance,4
worst,4
created,4
sniper,4
musk,4
snitch,4
yacht,4
invest,4
sack,4
reserved,4
scriptures,4
radioactive,4
rolls,4
drives,4
drippin,4
hen,4
dame,4
sounds,4
mtv,4
held,4
darkness,4
tons,4
covered,4
wits,4
patient,4
souls,4
moved,4
toes,4
dues,4
mucus,4
heel,4
duckin,4
coz,4
heels,4
dubs,4
traffic,4
threats,4
dat,4
toilet,4
pat,4
intimate,4
tre,4
crip,4
disrespect,4
drumming,4
crap,4
aware,4
tec,4
easier,4
winter,4
ello,4
slug,4
minimal,4
history,4
infamous,4
topic,4
cubes,4
screams,4
rib,4
confused,4
spinnin,4
parts,4
truce,4
thanks,4
hater,4
sag,4
hatin,4
jockin,4
eiht,4
jobs,4
hating,4
standards,4
bacardi,4
spread,4
hauled,4
motivation,4
denim,4
robin,4
wrickity,4
hopped,4
dopeman,4
amazin,4
influence,4
pon,4
par,4
afternoon,4
comp,4
quiet,4
jury,4
destruction,4
millionaire,4
tapped,4
inherit,4
hour,4
appetite,4
emergency,4
cuddling,4
approach,4
spite,4
minded,4
ate,4
wig,4
motion,4
muhfuckas,4
harlem,4
diapers,4
judge,4
soldier,4
hummer,4
bachs,4
definitely,4
partner,4
screws,4
dozen,4
mulholland,4
definition,4
conversate,4
instigator,4
considered,4
scoop,4
muthafuckas,4
muthafucka,4
pose,4
hung,4
crying,4
alls,4
moral,4
textin,4
poetry,4
spoil,4
def,4
smelled,4
smellin,4
passenger,4
ambulance,4
dinner,4
america,4
easter,4
mountain,4
miracle,4
ton,4
tripped,4
diggin,4
trois,4
indo,4
wrists,4
mold,4
hock,4
crystal,4
tinted,4
humongous,4
stamp,4
domino,4
pissed,4
tippy,4
rhyming,4
page,4
seize,3
max,3
mavericks,3
gnawed,3
glory,3
lorenzo,3
ghosts,3
lobby,3
independent,3
mayday,3
nod,3
lollipop,3
sights,3
matic,3
indecisive,3
giraffe,3
shy,3
maybachs,3
paranoia,3
glue,3
sides,3
script,3
sorta,3
spots,3
scribble,3
infinite,3
sounded,3
parade,3
passin,3
gay,3
soy,3
pens,3
shocked,3
maintain,3
note,3
saga,3
humor,3
humping,3
notch,3
san,3
hopin,3
marry,3
splurge,3
saggin,3
hunger,3
gank,3
magnet,3
hush,3
hookers,3
hustlas,3
risked,3
nos,3
shooters,3
makaveli,3
sherane,3
pardon,3
shizzle,3
hostile,3
function,3
runneth,3
manners,3
shines,3
saloon,3
options,3
splattered,3
horse,3
malibu,3
motha,3
fur,3
shhh,3
orange,3
stunned,3
hub,3
spins,3
spliff,3
fuzz,3
huddled,3
motel,3
object,3
hustlin,3
struck,3
hutch,3
mastered,3
pencils,3
lows,3
genocide,3
strictly,3
lowest,3
ignore,3
ii,3
movies,3
nuclear,3
loving,3
saddle,3
seeds,3
noon,3
showers,3
holler,3
illing,3
spark,3
images,3
spades,3
sposed,3
parked,3
shoutout,3
security,3
gate,3
strongest,3
mas,3
hypnotic,3
icey,3
icing,3
honkin,3
lyin,3
gasping,3
north,3
gatman,3
homicide,3
ideas,3
shed,3
parking,3
lurking,3
honest,3
mayne,3
stripes,3
massacre,3
month,3
models,3
stops,3
passports,3
scars,3
skunk,3
steve,3
headache,3
robbery,3
stereotype,3
jar,3
smirnoff,3
smiles,3
stains,3
patrick,3
jaws,3
kool,3
nauseous,3
message,3
slang,3
sac,3
kobe,3
guilla,3
smash,3
patron,3
jerry,3
knot,3
steelo,3
knockin,3
laces,3
smith,3
muthafuck,3
skis,3
skills,3
peas,3
stings,3
score,3
smooth,3
nature,3
heartbeat,3
overnight,3
skinny,3
laptop,3
mentor,3
lanes,3
laminates,3
lames,3
national,3
lainie,3
peach,3
lag,3
smoker,3
james,3
groupie,3
stages,3
merit,3
smalls,3
smaller,3
knight,3
mink,3
starving,3
kenny,3
midget,3
harmed,3
harley,3
slick,3
slid,3
muthafukas,3
pave,3
ny,3
sale,3
slizzle,3
milk,3
millionaires,3
starsky,3
jumpin,3
happiness,3
mystique,3
millennium,3
happening,3
pace,3
más,3
schooled,3
ju,3
jon,3
stealin,3
pavement,3
ow,3
mira,3
slash,3
kite,3
mi,3
mia,3
sluts,3
rover,3
jigga,3
habit,3
slay,3
haunt,3
servin,3
payback,3
killings,3
scheme,3
routine,3
johnson,3
offer,3
minor,3
hall,3
khalifa,3
slumped,3
mentality,3
skill,3
mayor,3
numero,3
shakur,3
nibble,3
hid,3
liftoff,3
ni,3
squared,3
multitask,3
media,3
pampered,3
snot,3
meditate,3
snoopy,3
laughed,3
saving,3
snithces,3
liberty,3
intro,3
meds,3
henny,3
liar,3
lexus,3
nerve,3
invade,3
lewinsky,3
simply,3
storms,3
shame,3
meantime,3
peers,3
ron,3
inhale,3
literally,3
silence,3
listening,3
mode,3
maze,3
hired,3
softer,3
paparazzi,3
moby,3
inspire,3
silverback,3
hims,3
socks,3
nigger,3
instrumentals,3
highness,3
lime,3
meanin,3
multiply,3
likes,3
path,3
snitches,3
lettin,3
grape,3
issues,3
stab,3
menace,3
sen,3
overhand,3
snappin,3
lazy,3
ivs,3
greasy,3
snapped,3
musical,3
sewer,3
lawsuit,3
laws,3
lavish,3
lauryn,3
nympho,3
stackin,3
heater,3
jackin,3
pedestal,3
greet,3
heated,3
sixteen,3
needs,3
megan,3
heh,3
graining,3
squee,3
invented,3
lesbians,3
lens,3
melee,3
squeezin,3
sirens,3
grams,3
invited,3
offed,3
palace,3
iraq,3
rubbed,3
sitted,3
iron,3
membrane,3
ropes,3
irony,3
pair,3
ish,3
leakin,3
snatchin,3
ocean,3
lend,3
stunts,3
wavin,3
throwing,3
dime,3
dillingers,3
birkin,3
dices,3
bitter,3
pure,3
wax,3
bizzles,3
direct,3
tick,3
determined,3
bk,3
tiene,3
blackbirds,3
blades,3
blank,3
destination,3
retard,3
bid,3
bleedin,3
begun,3
beams,3
beating,3
beatles,3
beer,3
thinks,3
playas,3
thirty,3
doesn,3
doctors,3
discussion,3
putting,3
divide,3
thou,3
regulate,3
distance,3
regulators,3
weeks,3
benzo,3
derail,3
punchlines,3
doug,3
book,3
bob,3
dedicated,3
titties,3
bogus,3
bold,3
wan,3
bonnie,3
dearly,3
dealers,3
boat,3
puke,3
dealer,3
boring,3
waited,3
points,3
poison,3
bouncing,3
bowl,3
deeper,3
boast,3
blessed,3
demand,3
depth,3
timbs,3
blessing,3
departed,3
blinded,3
wash,3
warriors,3
tint,3
poet,3
pulse,3
pumping,3
tippin,3
pumpin,3
blowing,3
tire,3
blows,3
deez,3
blur,3
doubts,3
downs,3
dawned,3
pipe,3
audemars,3
endangered,3
pinky,3
average,3
willing,3
elvis,3
ayyo,3
babe,3
piper,3
enjoyed,3
taylor,3
ego,3
eggs,3
piranha,3
backpack,3
pirellis,3
backstabbers,3
te,3
endure,3
enlighten,3
backyard,3
equivalent,3
estate,3
est,3
witcha,3
asshole,3
especially,3
wise,3
erykah,3
pillow,3
atlanta,3
pimping,3
taken,3
attila,3
enveloped,3
tale,3
tales,3
race,3
enter,3
wings,3
tearin,3
tease,3
battlin,3
basically,3
bare,3
driver,3
planets,3
drinkin,3
barrio,3
bars,3
based,3
dressed,3
wheelin,3
barbie,3
batch,3
whattup,3
bath,3
reunions,3
dragged,3
drag,3
battery,3
dpgc,3
dropping,3
tend,3
eastside,3
duper,3
badge,3
ease,3
ears,3
badu,3
bailin,3
dímelo,3
balcony,3
pivot,3
baller,3
drum,3
questionin,3
dummy,3
telly,3
bangladesh,3
whipped,3
queens,3
dry,3
temple,3
daz,3
puerto,3
ashanti,3
confiésalo,3
reminds,3
representing,3
cave,3
cease,3
poster,3
celebrate,3
celebratin,3
conflict,3
confidential,3
construction,3
confident,3
confidence,3
confess,3
potential,3
condo,3
cement,3
concept,3
computer,3
consequence,3
catching,3
tto,3
coochie,3
veins,3
carpet,3
triflin,3
vehicles,3
carrots,3
veggies,3
cookin,3
coogi,3
convinced,3
trips,3
convince,3
producers,3
remembered,3
controversy,3
remembers,3
contract,3
continues,3
vato,3
compromise,3
compose,3
professional,3
uhm,3
chigga,3
cluck,3
unique,3
tyrone,3
rent,3
chops,3
clique,3
clinton,3
um,3
prayers,3
unfair,3
cliché,3
prefer,3
pregnant,3
repay,3
cigars,3
claim,3
cker,3
price,3
prayer,3
tuck,3
charlie,3
tumble,3
competitor,3
tupac,3
comma,3
chances,3
print,3
ussé,3
powers,3
colored,3
remy,3
chasin,3
upstate,3
fullest,3
upset,3
tweaking,3
chemical,3
twenties,3
coffin,3
caring,3
cornered,3
bozack,3
brotha,3
cypress,3
brew,3
bridges,3
cuts,3
brighten,3
cushion,3
curve,3
relief,3
current,3
breeze,3
brow,3
torn,3
religion,3
bubbles,3
toss,3
bubbly,3
tote,3
bucks,3
release,3
respected,3
resist,3
dancin,3
daughters,3
dash,3
toke,3
polishin,3
darkside,3
dappadon,3
vultures,3
vuitton,3
dana,3
toned,3
brawl,3
breakneck,3
damien,3
breathed,3
damage,3
dallas,3
dale,3
daily,3
cuckoo,3
visit,3
porch,3
county,3
vices,3
craps,3
cranium,3
caesar,3
veteran,3
project,3
cousin,3
treaty,3
cam,3
buzzin,3
countless,3
campaign,3
verb,3
capable,3
trends,3
cappa,3
trial,3
resentment,3
creams,3
buying,3
pros,3
burnin,3
tourin,3
crush,3
bunnies,3
prophet,3
burger,3
burgers,3
burned,3
burners,3
tragic,3
trapped,3
crips,3
burst,3
popcorn,3
prophecy,3
popeyes,3
creepin,3
creatures,3
button,3
asleep,3
threesomes,3
rapped,3
pie,3
26,3
flee,3
anew,3
swollen,3
facial,3
exit,3
swoll,3
friendship,3
wont,3
fiends,3
angelo,3
foreplay,3
flop,3
yay,3
38,3
sufferin,3
friendly,3
woman,3
excuse,3
अक,3
agents,3
surely,3
73,3
summertime,3
figured,3
flavor,3
writin,3
wrongs,3
501,3
fatal,3
frisco,3
surfboard,3
figga,3
perform,3
swift,3
aren,3
area,3
3x,3
aimin,3
ricochet,3
phil,3
worldwide,3
forward,3
freebase,3
fred,3
flipped,3
al,3
younger,3
zoo,3
fornia,3
anyways,3
anti,3
feedin,3
suspicious,3
swinging,3
ringing,3
4x,3
fellowship,3
flies,3
flick,3
appeal,3
fabric,3
switchin,3
flicks,3
fetish,3
expensive,3
switched,3
fa,3
rifle,3
swishers,3
reduction,3
appalled,3
sunlight,3
phenom,3
fences,3
accounts,3
survived,3
final,3
worlds,3
fizzing,3
pete,3
ysidro,3
realized,3
arrived,3
fitted,3
footsteps,3
realise,3
ability,3
rakim,3
जव,3
rick,3
eventually,3
amber,3
sweater,3
wizzle,3
sé,3
fold,3
94,3
eve,3
wrestler,3
actor,3
16,3
zig,3
fizast,3
ranch,3
false,3
zeros,3
adrenalin,3
recollect,3
fucka,3
african,3
advantage,3
zany,3
fronts,3
perpetrate,3
80s,3
sufficient,3
realness,3
flaunt,3
findin,3
finding,3
recall,3
riddick,3
suicide,3
100,3
supreme,3
writer,3
woah,3
armed,3
flyin,3
evacuate,3
88,3
evolves,3
ex,3
tables,3
riddle,3
suffocate,3
flags,3
limo,2
needing,2
butler,2
canyon,2
accent,2
caped,2
canibus,2
linen,2
buttersworth,2
venus,2
busting,2
buts,2
cakin,2
progress,2
pronounce,2
cadillacs,2
neil,2
vibrated,2
rav,2
neighbors,2
vibes,2
negro,2
outfit,2
rats,2
youth,2
calico,2
verses,2
promises,2
listenin,2
caked,2
camp,2
cabrón,2
vice,2
liver,2
vicious,2
vicodin,2
nemisis,2
listener,2
bystanders,2
llaaaaaaac,2
victims,2
recently,2
programmin,2
scale,2
academy,2
cancel,2
yup,2
rave,2
burdens,2
busted,2
brothas,2
nasty,2
lowed,2
rumble,2
bruised,2
activator,2
reload,2
lovers,2
bub,2
scarface,2
loveless,2
rate,2
yolkin,2
buckin,2
acres,2
showdown,2
loungin,2
louder,2
buckshot,2
bud,2
buddhist,2
buddies,2
nascar,2
activists,2
bushes,2
bros,2
adapt,2
bride,2
orphan,2
nana,2
adam,2
released,2
rumbles,2
scatter,2
lunch,2
lunatic,2
psychiatrist,2
lumma,2
lucy,2
psych,2
releasing,2
bringing,2
provoked,2
voices,2
actual,2
brock,2
shove,2
os,2
lots,2
budge,2
visitor,2
villian,2
villains,2
limits,2
nazareth,2
loner,2
neal,2
sicka,2
sicko,2
village,2
villa,2
sider,2
ruined,2
accountants,2
rugs,2
rational,2
burnish,2
sie,2
loch,2
accident,2
youngin,2
property,2
osorio,2
lookie,2
bunk,2
vip,2
losses,2
ruler,2
yollup,2
achilles,2
buggin,2
ache,2
buisness,2
bull,2
remains,2
shred,2
villians,2
shrooms,2
violence,2
bumper,2
bumps,2
vintage,2
buncha,2
accustomed,2
loonies,2
vin,2
zag,2
process,2
outlawz,2
launchpad,2
lawyer,2
skeet,2
chemicals,2
sandman,2
nori,2
lawrence,2
unzip,2
prick,2
prices,2
lauren,2
unstoppable,2
22,2
chicka,2
unsigned,2
priceless,2
reading,2
2021,2
ऐस,2
skid,2
unloaded,2
lately,2
renee,2
lax,2
cheesecake,2
program,2
urge,2
learning,2
changing,2
channel,2
remove,2
usin,2
314,2
charm,2
ése,2
2x,2
urkels,2
leading,2
layers,2
leadin,2
ur,2
cheatin,2
le,2
lbc,2
upstairs,2
checking,2
29,2
chedda,2
removed,2
pretendin,2
ching,2
las,2
13,2
unfold,2
sample,2
chron,2
chu,2
royals,2
chubby,2
धक,2
chuck,2
chucky,2
laced,2
lace,2
larry,2
roy,2
rental,2
skunks,2
chunks,2
rear,2
understood,2
kyo,2
ky,2
underroos,2
underpaid,2
151,2
christ,2
laguna,2
chris,2
1985,2
chocolate,2
union,2
कह,2
uninspired,2
lanka,2
uniform,2
chokes,2
renge,2
pressed,2
landing,2
unh,2
chop,2
chopped,2
lame,2
chords,2
1800,2
skipper,2
18,2
skirtin,2
chorus,2
changes,2
405,2
santa,2
licks,2
proceed,2
cassius,2
numbers,2
nifty,2
vans,2
vanilla,2
catastrophe,2
700,2
lid,2
70,2
6th,2
valet,2
singing,2
licked,2
cater,2
vampires,2
64s,2
causin,2
liable,2
reminisce,2
zippers,2
outs,2
luv,2
lifin,2
lifing,2
casey,2
nerves,2
venomos,2
caps,2
outlet,2
savor,2
production,2
liking,2
9ers,2
likeness,2
carnage,2
netted,2
97,2
lightning,2
carries,2
rebirth,2
zimmerman,2
90,2
sincerely,2
cartel,2
8th,2
82,2
valleys,2
60,2
champion,2
zucchinis,2
cents,2
century,2
rubber,2
sarcophagus,2
cereal,2
cesar,2
vaccine,2
legendary,2
vacay,2
nipple,2
chains,2
valentine,2
legacy,2
chainsaw,2
chair,2
vacation,2
vacate,2
prisoner,2
vaca,2
chalupa,2
v8,2
41,2
ninna,2
ninja,2
rubberband,2
vain,2
valeho,2
ceilin,2
rebel,2
nightmares,2
lets,2
lethal,2
celebration,2
50k,2
nighttime,2
lessons,2
509,2
cells,2
nuisance,2
cellular,2
cellulite,2
leroy,2
sasquatch,2
celtics,2
nines,2
vale,2
cemetery,2
volvos,2
monie,2
addresses,2
meth,2
motive,2
banner,2
mhmm,2
motor,2
banquette,2
bans,2
bapped,2
apartment,2
meurice,2
ohhh,2
meteors,2
motivated,2
meteorologist,2
metatron,2
metaphor,2
ap,2
whimper,2
settin,2
seamstress,2
messin,2
messes,2
messed,2
apocalypse,2
serving,2
wicked,2
bald,2
whooping,2
regal,2
serial,2
balance,2
appears,2
mild,2
milan,2
mil,2
offspring,2
reebok,2
quicker,2
whipping,2
midnight,2
baliff,2
obstacle,2
woop,2
whistle,2
balloon,2
queer,2
whips,2
band,2
bandages,2
obscene,2
barking,2
barnes,2
beater,2
whateva,2
bauer,2
member,2
beam,2
meltin,2
whassup,2
olds,2
rusty,2
beasting,2
omega,2
ands,2
worker,2
beauty,2
meeting,2
shaded,2
quad,2
bedstuy,2
wouldnt,2
wesson,2
medicine,2
medication,2
anatomy,2
animals,2
anna,2
annie,2
oldest,2
mould,2
barricades,2
mere,2
mercy,2
regime,2
meow,2
bash,2
basic,2
mentions,2
olden,2
mentioned,2
mourn,2
basis,2
quat,2
anorexic,2
mouths,2
anonymous,2
annihilated,2
batman,2
bats,2
batter,2
woods,2
rybody,2
ornaments,2
arraignment,2
secretaries,2
winnin,2
mock,2
wizzass,2
arrest,2
odd,2
mobile,2
attempt,2
moan,2
attempted,2
moody,2
wins,2
mm,2
wining,2
mj,2
selfish,2
armstrong,2
moonshine,2
armor,2
attraction,2
morgue,2
secondhand,2
mockingbird,2
refill,2
milling,2
raiders,2
asap,2
asgard,2
monday,2
seein,2
monies,2
ashley,2
assassin,2
moments,2
artillery,2
monks,2
assholes,2
astronomer,2
mollied,2
assist,2
assistant,2
sacrificed,2
wishin,2
wishes,2
assumptions,2
occasions,2
segue,2
racking,2
rabbit,2
reflectin,2
qué,2
backing,2
wigs,2
backbone,2
backed,2
minors,2
minorities,2
quits,2
backin,2
separate,2
mossberg,2
wolf,2
wondering,2
aunt,2
backstroke,2
mothafuckas,2
appreciates,2
appreciated,2
mimickin,2
bacon,2
wifin,2
wonka,2
wifey,2
applause,2
mio,2
moses,2
moschino,2
babysittin,2
autograph,2
automobile,2
available,2
ave,2
aventadors,2
avenue,2
avenues,2
armageddon,2
avoiding,2
willy,2
awe,2
arguing,2
quizition,2
offended,2
axe,2
william,2
sentenced,2
argue,2
offense,2
miracles,2
obviously,2
wounds,2
beg,2
began,2
boiling,2
ahhhhhh,2
raped,2
bod,2
oral,2
bodied,2
boeing,2
muthafuka,2
ordered,2
makings,2
wannabe,2
yeahhh,2
muthafucker,2
makers,2
scold,2
salad,2
booed,2
boot,2
agent,2
bopping,2
muy,2
boricua,2
agenda,2
malpractice,2
yawnin,2
regularly,2
warn,2
scrapas,2
marajaun,2
blizzard,2
blocks,2
shift,2
yam,2
muslim,2
blonde,2
aka,2
bloody,2
blouse,2
scope,2
shinin,2
scored,2
opposite,2
option,2
maneuver,2
blueberry,2
managers,2
yan,2
opulence,2
pum,2
mainly,2
mvps,2
bother,2
breast,2
bras,2
shoppin,2
brat,2
shores,2
advil,2
voy,2
maaco,2
relatives,2
vouch,2
breaking,2
lyric,2
maim,2
breasts,2
yelling,2
rapture,2
breathing,2
scheduled,2
naked,2
lx,2
adies,2
nal,2
nam,2
mackin,2
advocate,2
yeezys,2
organic,2
shoestrings,2
puffing,2
boutique,2
mah,2
wade,2
magician,2
nwa,2
bowling,2
boyz,2
myers,2
myoho,2
recovery,2
mae,2
aftermizat,2
afro,2
monica,2
brag,2
braids,2
madison,2
puddles,2
brakin,2
marble,2
marbles,2
marcy,2
mausberg,2
weekend,2
berzerk,2
betta,2
betty,2
weave,2
maximum,2
maxi,2
bg,2
weary,2
purse,2
wrestled,2
alphabet,2
amateurs,2
shared,2
bigga,2
matterhorn,2
bih,2
matted,2
billboard,2
matrix,2
sharp,2
opened,2
mayo,2
skyline,2
ramen,2
benjamin,2
wept,2
raising,2
amused,2
mechanical,2
behave,2
behavior,2
meat,2
behold,2
beige,2
beings,2
amputating,2
believer,2
amnesia,2
ammo,2
meal,2
bell,2
wrecked,2
ben,2
weird,2
beneath,2
muggy,2
billin,2
billion,2
wasted,2
shenendoah,2
blackballed,2
alien,2
pup,2
watts,2
relapse,2
yack,2
scratched,2
alert,2
blasted,2
shenedoah,2
marley,2
weapons,2
murk,2
blazer,2
blazing,2
murked,2
sherm,2
oakland,2
marijuan,2
alarms,2
wastin,2
yaknowhati,2
alizé,2
xans,2
municipal,2
bizzy,2
mates,2
material,2
shave,2
openin,2
wealth,2
bis,2
biscuit,2
masterpiece,2
shay,2
bitchmade,2
almighty,2
master,2
masses,2
bites,2
mason,2
sheep,2
purchased,2
sheepskin,2
wynd,2
screamed,2
mumbling,2
civilians,2
twan,2
ck,2
places,2
tearing,2
stall,2
hawaiian,2
ee,2
effectively,2
efx,2
robot,2
hats,2
tax,2
eighteen,2
piping,2
hates,2
pipin,2
tattoo,2
elevate,2
tater,2
eliminate,2
stands,2
robocop,2
hash,2
elite,2
harry,2
pious,2
elohim,2
embarrass,2
task,2
embrace,2
hays,2
eastern,2
earned,2
teflon,2
st,2
drums,2
heffner,2
ducati,2
ducks,2
patience,2
dugout,2
duh,2
dummies,2
stacked,2
telephone,2
stacking,2
dusty,2
earn,2
tees,2
dutty,2
duty,2
rewinding,2
dwelling,2
hearing,2
teen,2
pitiful,2
healthy,2
headshot,2
earlobe,2
headphones,2
hardcore,2
embryo,2
target,2
pigs,2
escargot,2
stats,2
escorts,2
ese,2
hailey,2
eso,2
hahahaha,2
esophagus,2
pillage,2
richard,2
hadn,2
estamos,2
stayed,2
escapin,2
richie,2
está,2
gyration,2
gyrated,2
pig,2
ether,2
richmond,2
gwap,2
steak,2
evacuated,2
guts,2
gusty,2
escaping,2
escape,2
starboy,2
talks,2
emcees,2
tapes,2
tanya,2
tankinis,2
ending,2
pinch,2
tangerine,2
english,2
pimps,2
tallied,2
taller,2
handled,2
entertainment,2
salt,2
talked,2
paved,2
ep,2
hamptons,2
hampton,2
equate,2
halt,2
halo,2
era,2
erection,2
tail,2
erratically,2
revolver,2
heller,2
payday,2
sri,2
thrive,2
disconnect,2
honesty,2
spoon,2
discuss,2
homo,2
discussin,2
retired,2
disguise,2
dishes,2
slack,2
display,2
threatened,2
threaten,2
homage,2
disrespectful,2
holster,2
thousands,2
passengers,2
ditch,2
dixie,2
holiday,2
dkny,2
dm,2
thonged,2
dock,2
passes,2
plead,2
disappear,2
dis,2
digs,2
plug,2
horns,2
hornet,2
diary,2
rolex,2
hops,2
thumbing,2
thugster,2
dies,2
diet,2
retaliation,2
rodney,2
dilated,2
hoochie,2
thugging,2
rodent,2
hoopty,2
hoops,2
dine,2
hooligans,2
passed,2
ding,2
throws,2
dipping,2
hoofs,2
spookier,2
dodgin,2
playboy,2
spotted,2
henry,2
drawn,2
squares,2
squash,2
dreamin,2
dressing,2
dresta,2
dries,2
heroes,2
drift,2
reverend,2
heritage,2
herded,2
drip,2
hidden,2
terror,2
planet,2
reverse,2
hemi,2
drool,2
helpin,2
term,2
revived,2
drownin,2
revolution,2
squirrel,2
squirt,2
drawer,2
testing,2
hog,2
doorway,2
sprayed,2
dominoes,2
donald,2
rode,2
doobiest,2
doodle,2
plates,2
dookie,2
hizzon,2
sprinkle,2
plastic,2
doorsteps,2
sprinter,2
hides,2
doper,2
thanksgiving,2
dots,2
dove,2
dow,2
hinges,2
spunk,2
downtown,2
squabble,2
draft,2
pasted,2
highest,2
ta,2
stealth,2
hort,2
fisticuffs,2
stressing,2
flights,2
gi,2
flipper,2
ghoul,2
ghostly,2
sundays,2
gga,2
stretched,2
floors,2
persuasive,2
summon,2
fluoride,2
pena,2
summarize,2
persian,2
foe,2
perry,2
genes,2
generations,2
folk,2
gemini,2
pero,2
penetrate,2
geeked,2
sugared,2
stripped,2
rival,2
supercharged,2
flex,2
globe,2
fitty,2
goblin,2
gobe,2
fixed,2
goal,2
phantom,2
glow,2
pglang,2
rm,2
rihanna,2
petty,2
rin,2
global,2
ringin,2
straw,2
strays,2
supersonic,2
superpowers,2
glanced,2
supernova,2
flashing,2
given,2
giuseppe,2
flattery,2
girlies,2
flaws,2
strippers,2
football,2
forbes,2
fuzukin,2
subterranean,2
gambino,2
penny,2
gal,2
studded,2
students,2
rippin,2
gaffle,2
gabriel,2
frog,2
penthouse,2
su,2
stumbles,2
ripper,2
perfection,2
froze,2
stun,2
frozen,2
ripsta,2
frumunda,2
stuy,2
fuckas,2
fucker,2
fuel,2
sturdy,2
riri,2
gandhi,2
freeway,2
perms,2
permission,2
gators,2
forced,2
strobe,2
gather,2
stroke,2
forecast,2
riot,2
gassin,2
gassed,2
suffering,2
forgetting,2
forgiveness,2
fornication,2
ganged,2
fortune,2
suckas,2
fourth,2
gansta,2
fox,2
frank,2
ganked,2
succotash,2
ganja,2
stubs,2
freedom,2
period,2
peeps,2
fishes,2
gunshots,2
straightjacket,2
expecting,2
switches,2
explanation,2
roast,2
switchblade,2
explore,2
groovin,2
sticky,2
express,2
stiff,2
stiffen,2
expression,2
extreme,2
sting,2
swings,2
eyeballs,2
grin,2
grimy,2
grimey,2
eyed,2
eyeing,2
fab,2
swim,2
stinkin,2
faceted,2
stinking,2
swiftly,2
switching,2
expectancy,2
expand,2
sympathetic,2
gunshot,2
systems,2
systematically,2
gum,2
everythin,2
rico,2
steering,2
guide,2
guidance,2
stems,2
exact,2
example,2
picnics,2
growin,2
syllable,2
picks,2
stepping,2
guard,2
exclusive,2
swords,2
exempt,2
exhaust,2
payment,2
sword,2
exotic,2
growing,2
pedestrians,2
stir,2
rid,2
gorillas,2
riesling,2
gowns,2
felony,2
gourmet,2
fendi,2
ferris,2
surround,2
surrender,2
surprised,2
surplus,2
fiddy,2
gosh,2
surgeon,2
gracious,2
pharoah,2
stoute,2
stove,2
fighting,2
gones,2
fights,2
golf,2
filet,2
sur,2
fires,2
fireworks,2
straighten,2
graced,2
federal,2
greater,2
fantasy,2
fairy,2
pedigree,2
gravy,2
faithless,2
stock,2
photos,2
fakes,2
gratuity,2
falls,2
falsified,2
sweaty,2
fantasized,2
stomachs,2
february,2
fart,2
farther,2
swearin,2
fathers,2
grammy,2
swarming,2
swamp,2
swallowship,2
grail,2
